Serial Number,Job ID,Job Title,Area of Practice,Position,Street Address,City,State,Zip Code,Hospital Name,Phone,Website,Salary,Job Type,Job URL,Description
"1","MPH-54728","Founding Partner Veterinarian - Bonita","General Practice Care","Partner Veterinarian","4180 Thrive Dr. Ste. 140","Roseville","CA","95678","Livewell Animal Hospital of Bonita","+19163658141","http://www.livewellanimalroseville.com/?utm_source=gmb&utm_medium=organic","","Full-Time","https://missionpethealth.avature.net/agency/JobDetail?jobId=54728","=== PAGE CONTENT ===
Job Description
Your Impact as a Founding Partner & Lead Veterinarian

This is more than a leadership role; it's an opportunity to build and lead a practice with the full backing of an established network. As the Founding Partner & Lead Veterinarian, you will be the cornerstone of the hospital, responsible for establishing a gold-standard medical culture, mentoring your team, and driving the business's success as a true owner.

Build a Thriving Practice Culture: You will be the architect of a client-first, collaborative culture, setting the tone for medical excellence and teamwork from day one.
Lead and Mentor Your Medical Team: You will recruit, onboard, and develop your associate veterinarians and paraprofessional staff, fostering a team that is highly skilled, efficient, and engaged.
Drive Medical and Surgical Excellence: You will set and maintain the hospital's standard of care, ensuring the delivery of excellent patient care and providing mentorship in general surgery and dentistry.
Partner in Business Ownership:You will work directly with your Hospital Manager to manage the hospital's financial performance, making strategic decisions that drive top-line revenue growth and long-term success.

What You'll Bring to the Team
Doctor of Veterinary Medicine (DVM) degree and a license in good standing to practice.
A minimum of 4+ years of experience as a veterinarian, with a strong foundation in general medicine, surgery, and dentistry.
A compassionate and collaborative leadership style with the ability to mentor and develop associate veterinarians and support staff.
An entrepreneurial spirit and a strong understanding of what it takes to run a successful practice.
Previous formal leadership or management experience is a significant plus.
Will Accept a New Grad?
No
Back to Open positions
Submit a Candidate
Share this job
Email
Facebook
LinkedIn
X
WeChat
Xing
Similar jobs
Veterinarian at Countryside Veterinary Clinic in Yorkville, Illinois
Payroll Coordinator
View all
© 2026 | Mission Pet Health
Privacy Policy"
"2","MPH-54584","Veterinarian at Countryside Veterinary Clinic in Yorkville, Illinois","General Practice Care","Associate Veterinarian","601 Center Pkwy","Yorkville","IL","60560","Countryside Veterinary Clinic","+16305537436","https://countrysidevetpets.com/?utm_source=gmb&utm_medium=organic","","Full-Time","https://missionpethealth.avature.net/agency/JobDetail?jobId=54584","=== PAGE CONTENT ===
Job Description
What Your Day-to-Day Looks Like
Build Lasting Relationships: Connect with clients and their pets, becoming their trusted partner in a pet's lifelong health.
Practice Your Best Medicine: From diagnosis to treatment, you'll lead patient care with the freedom to uphold the highest standards.
Educate and Empower: Clearly communicate findings and treatment plans, empowering clients to make informed decisions.
Collaborate and Grow: Work alongside a supportive paraprofessional team, contributing to a positive hospital culture.
Who We're Looking For
Doctor of Veterinary Medicine (DVM) degree.
A valid state license and in good standing to practice.
A collaborative spirit and a dedication to practicing the highest standard of medicine.
Excellent communication skills with a positive, friendly attitude.
Will Accept a New Grad?
No
Back to Open positions
Submit a Candidate
Share this job
Email
Facebook
LinkedIn
X
WeChat
Xing
Similar jobs
Founding Partner Veterinarian - Bonita
Payroll Coordinator
View all
© 2026 | Mission Pet Health
Privacy Policy"
"3","MPH-54355","Veterinarian","General Practice Care","Associate Veterinarian","13900 Jog Rd Suite 209","Delray Beach","FL","33446","Delray Beach Animal Hospital","+15619002680","https://delraybeachanimalhospital.com/?utm_source=gmb&utm_medium=organic","","Full-Time","https://missionpethealth.avature.net/agency/JobDetail?jobId=54355","=== PAGE CONTENT ===
Job Description
What Your Day-to-Day Looks Like
Build Lasting Relationships: Connect with clients and their pets, becoming their trusted partner in a pet's lifelong health.
Practice Your Best Medicine: From diagnosis to treatment, you'll lead patient care with the freedom to uphold the highest standards.
Educate and Empower: Clearly communicate findings and treatment plans, empowering clients to make informed decisions.
Collaborate and Grow: Work alongside a supportive paraprofessional team, contributing to a positive hospital culture.
Who We're Looking For
Doctor of Veterinary Medicine (DVM) degree.
A valid state license and in good standing to practice.
A collaborative spirit and a dedication to practicing the highest standard of medicine.
Excellent communication skills with a positive, friendly attitude.
Will Accept a New Grad?
No
Back to Open positions
Submit a Candidate
Share this job
Email
Facebook
LinkedIn
X
WeChat
Xing
Similar jobs
Founding Partner Veterinarian - Bonita
Veterinarian at Countryside Veterinary Clinic in Yorkville, Illinois
Payroll Coordinator
View all
© 2026 | Mission Pet Health
Privacy Policy"
"4","MPH-53629","Veterinarian","General Practice Care","Associate Veterinarian","135 A Pinnacle Pl","Little River","SC","29566","Waterway Animal Hospital","+18436634500","https://waterwayanimalhospital.com/?utm_source=gmb&utm_medium=organic","","Full-Time","https://missionpethealth.avature.net/agency/JobDetail?jobId=53629","=== PAGE CONTENT ===
Job Description
What Your Day-to-Day Looks Like
Build Lasting Relationships: Connect with clients and their pets, becoming their trusted partner in a pet's lifelong health.
Practice Your Best Medicine: From diagnosis to treatment, you'll lead patient care with the freedom to uphold the highest standards.
Educate and Empower: Clearly communicate findings and treatment plans, empowering clients to make informed decisions.
Collaborate and Grow: Work alongside a supportive paraprofessional team, contributing to a positive hospital culture.
Who We're Looking For
Doctor of Veterinary Medicine (DVM) degree.
A valid state license and in good standing to practice.
A collaborative spirit and a dedication to practicing the highest standard of medicine.
Excellent communication skills with a positive, friendly attitude.
Will Accept a New Grad?
No
Back to Open positions
Submit a Candidate
Share this job
Email
Facebook
LinkedIn
X
WeChat
Xing
Similar jobs
Founding Partner Veterinarian - Bonita
Veterinarian at Countryside Veterinary Clinic in Yorkville, Illinois
Payroll Coordinator
View all
© 2026 | Mission Pet Health
Privacy Policy"
"5","MPH-53106","Veterinarian","General Practice Care","Associate Veterinarian","115 E Euclid Ave","DeLand","FL","32724","FloridaWild Veterinary Hospital","+13867349899","https://floridawildvethospital.com/?utm_source=gmb&utm_medium=organic","","Full-Time","https://missionpethealth.avature.net/agency/JobDetail?jobId=53106","=== PAGE CONTENT ===
Job Description
What Your Day-to-Day Looks Like
Build Lasting Relationships: Connect with clients and their pets, becoming their trusted partner in a pet's lifelong health.
Practice Your Best Medicine: From diagnosis to treatment, you'll lead patient care with the freedom to uphold the highest standards.
Educate and Empower: Clearly communicate findings and treatment plans, empowering clients to make informed decisions.
Collaborate and Grow: Work alongside a supportive paraprofessional team, contributing to a positive hospital culture.
Who We're Looking For
Doctor of Veterinary Medicine (DVM) degree.
A valid state license and in good standing to practice.
A collaborative spirit and a dedication to practicing the highest standard of medicine.
Excellent communication skills with a positive, friendly attitude.
Will Accept a New Grad?
Yes
Back to Open positions
Submit a Candidate
Share this job
Email
Facebook
LinkedIn
X
WeChat
Xing
Similar jobs
Founding Partner Veterinarian - Bonita
Veterinarian at Countryside Veterinary Clinic in Yorkville, Illinois
Payroll Coordinator
View all
© 2026 | Mission Pet Health
Privacy Policy"
"6","MPH-53081","Medical Lead Veterinarian","General Practice Care","Lead Veterinarian","880 A1A N #21","Ponte Vedra Beach","FL","32082","Animal Care of Ponte Vedra","+19042804544","https://animalcareofpontevedra.com/?utm_source=gmb&utm_medium=organic","","Full-Time","https://missionpethealth.avature.net/agency/JobDetail?jobId=53081","=== PAGE CONTENT ===
Job Description
Your Impact as a Medical Lead Veterinarian

As the Medical Lead Veterinarian, you are the champion of medical excellence in your hospital. You will be responsible for mentoring and developing your associate veterinarians, partnering with your Practice Manager to build a healthy and engaged team, and driving the continuous improvement of patient care and client service. This is a key leadership role where you will set the standard for clinical quality and foster a culture of collaboration and growth.

Lead and Mentor Your DVM Team: You will manage all associate veterinarians, conducting regular performance discussions, coaching them on individual development goals (including production and PCT), and fostering a culture of teamwork and retention.
Role Model Medical Excellence: You will set the example for the highest quality of medicine, client service, and efficiency, while also practicing as an associate veterinarian and achieving your own production goals.
Drive Hospital Performance: In partnership with your Practice Manager, you will help develop the annual operating plan, manage hospital financial performance toward an EBITDA goal, and ensure compliance with all medical and DEA regulations.
Foster a Culture of Growth: You will lead monthly doctor meetings to discuss best practices, new services, and medical standards. You will also supervise externship and mentorship programs and champion a culture of recruitment.
Be an Ambassador: You will serve as an ambassador for your hospital and Mission Pet Health through community engagement at schools, universities, and local events.
What You'll Bring to the Team
Doctor of Veterinary Medicine (DVM) degree and a valid state license in good standing.
A minimum of 2 years of practical clinical experience.
A servant leadership mentality with a commitment to our core values and the ability to build strong, collaborative relationships.
Excellent written, verbal, and interpersonal communication skills.
An understanding of (or willingness to learn) the financial and operating management of a hospital.
Proficiency in intermediate computer skills (MS Office, Outlook, etc.).
Enthusiasm and a desire to be part of a progressive, growth-oriented culture.
Will Accept a New Grad?
No
Back to Open positions
Submit a Candidate
Share this job
Email
Facebook
LinkedIn
X
WeChat
Xing
Similar jobs
Founding Partner Veterinarian - Bonita
Veterinarian at Countryside Veterinary Clinic in Yorkville, Illinois
Payroll Coordinator
View all
© 2026 | Mission Pet Health
Privacy Policy"
"7","MPH-53063","Medical Lead Veterinarian at Capitol Illini Springfield","General Practice Care","Lead Veterinarian","1711 Wabash Ave","Springfield","IL","62704","Capitol Illini Veterinary Services - Springfield","+12175461541","https://capitolillinivet.com/?utm_source=gmb&utm_medium=organic","","Full-Time","https://missionpethealth.avature.net/agency/JobDetail?jobId=53063","=== PAGE CONTENT ===
Job Description
Your Impact as a Medical Lead Veterinarian

As the Medical Lead Veterinarian, you are the champion of medical excellence in your hospital. You will be responsible for mentoring and developing your associate veterinarians, partnering with your Practice Manager to build a healthy and engaged team, and driving the continuous improvement of patient care and client service. This is a key leadership role where you will set the standard for clinical quality and foster a culture of collaboration and growth.

Lead and Mentor Your DVM Team: You will manage all associate veterinarians, conducting regular performance discussions, coaching them on individual development goals (including production and PCT), and fostering a culture of teamwork and retention.
Role Model Medical Excellence: You will set the example for the highest quality of medicine, client service, and efficiency, while also practicing as an associate veterinarian and achieving your own production goals.
Drive Hospital Performance: In partnership with your Practice Manager, you will help develop the annual operating plan, manage hospital financial performance toward an EBITDA goal, and ensure compliance with all medical and DEA regulations.
Foster a Culture of Growth: You will lead monthly doctor meetings to discuss best practices, new services, and medical standards. You will also supervise externship and mentorship programs and champion a culture of recruitment.
Be an Ambassador: You will serve as an ambassador for your hospital and Mission Pet Health through community engagement at schools, universities, and local events.
What You'll Bring to the Team
Doctor of Veterinary Medicine (DVM) degree and a valid state license in good standing.
A minimum of 2 years of practical clinical experience.
A servant leadership mentality with a commitment to our core values and the ability to build strong, collaborative relationships.
Excellent written, verbal, and interpersonal communication skills.
An understanding of (or willingness to learn) the financial and operating management of a hospital.
Proficiency in intermediate computer skills (MS Office, Outlook, etc.).
Enthusiasm and a desire to be part of a progressive, growth-oriented culture.

#AVMA

Will Accept a New Grad?
No
Back to Open positions
Submit a Candidate
Share this job
Email
Facebook
LinkedIn
X
WeChat
Xing
Similar jobs
Founding Partner Veterinarian - Bonita
Veterinarian at Countryside Veterinary Clinic in Yorkville, Illinois
Payroll Coordinator
View all
© 2026 | Mission Pet Health
Privacy Policy"
"8","MPH-52923","Medical Lead Veterinarian at Countryside Veterinary Clinic near Chicago, Illinois","General Practice Care","Lead Veterinarian","601 Center Pkwy","Yorkville","IL","60560","Countryside Veterinary Clinic","+16305537436","https://countrysidevetpets.com/?utm_source=gmb&utm_medium=organic","","Full-Time","https://missionpethealth.avature.net/agency/JobDetail?jobId=52923","=== PAGE CONTENT ===
Job Description
Your Impact as a Medical Lead Veterinarian

As the Medical Lead Veterinarian, you are the champion of medical excellence in your hospital. You will be responsible for mentoring and developing your associate veterinarians, partnering with your Practice Manager to build a healthy and engaged team, and driving the continuous improvement of patient care and client service. This is a key leadership role where you will set the standard for clinical quality and foster a culture of collaboration and growth.

Lead and Mentor Your DVM Team: You will manage all associate veterinarians, conducting regular performance discussions, coaching them on individual development goals (including production and PCT), and fostering a culture of teamwork and retention.
Role Model Medical Excellence: You will set the example for the highest quality of medicine, client service, and efficiency, while also practicing as an associate veterinarian and achieving your own production goals.
Drive Hospital Performance: In partnership with your Practice Manager, you will help develop the annual operating plan, manage hospital financial performance toward an EBITDA goal, and ensure compliance with all medical and DEA regulations.
Foster a Culture of Growth: You will lead monthly doctor meetings to discuss best practices, new services, and medical standards. You will also supervise externship and mentorship programs and champion a culture of recruitment.
Be an Ambassador: You will serve as an ambassador for your hospital and Mission Pet Health through community engagement at schools, universities, and local events.
What You'll Bring to the Team
Doctor of Veterinary Medicine (DVM) degree and a valid state license in good standing.
A minimum of 2 years of practical clinical experience.
A servant leadership mentality with a commitment to our core values and the ability to build strong, collaborative relationships.
Excellent written, verbal, and interpersonal communication skills.
An understanding of (or willingness to learn) the financial and operating management of a hospital.
Proficiency in intermediate computer skills (MS Office, Outlook, etc.).
Enthusiasm and a desire to be part of a progressive, growth-oriented culture.

#AVMA

Will Accept a New Grad?
No
Back to Open positions
Submit a Candidate
Share this job
Email
Facebook
LinkedIn
X
WeChat
Xing
Similar jobs
Founding Partner Veterinarian - Bonita
Veterinarian at Countryside Veterinary Clinic in Yorkville, Illinois
Payroll Coordinator
View all
© 2026 | Mission Pet Health
Privacy Policy"
"9","MPH-52697","Medical Lead Veterinarian","General Practice Care","Lead Veterinarian","1607 Grand Ave #11","Glenwood Springs","CO","81601","All Dogs & Cats Veterinary Hospital - Glenwood Springs","+19709456762","https://alldogcatvetgws.com/?utm_source=gmb&utm_medium=organic","","Full-Time","https://missionpethealth.avature.net/agency/JobDetail?jobId=52697","=== PAGE CONTENT ===
Job Description
Your Impact as a Medical Lead Veterinarian

As the Medical Lead Veterinarian, you are the champion of medical excellence in your hospital. You will be responsible for mentoring and developing your associate veterinarians, partnering with your Practice Manager to build a healthy and engaged team, and driving the continuous improvement of patient care and client service. This is a key leadership role where you will set the standard for clinical quality and foster a culture of collaboration and growth.

Lead and Mentor Your DVM Team: You will manage all associate veterinarians, conducting regular performance discussions, coaching them on individual development goals (including production and PCT), and fostering a culture of teamwork and retention.
Role Model Medical Excellence: You will set the example for the highest quality of medicine, client service, and efficiency, while also practicing as an associate veterinarian and achieving your own production goals.
Drive Hospital Performance: In partnership with your Practice Manager, you will help develop the annual operating plan, manage hospital financial performance toward an EBITDA goal, and ensure compliance with all medical and DEA regulations.
Foster a Culture of Growth: You will lead monthly doctor meetings to discuss best practices, new services, and medical standards. You will also supervise externship and mentorship programs and champion a culture of recruitment.
Be an Ambassador: You will serve as an ambassador for your hospital and Mission Pet Health through community engagement at schools, universities, and local events.
What You'll Bring to the Team
Doctor of Veterinary Medicine (DVM) degree and a valid state license in good standing.
A minimum of 2 years of practical clinical experience.
A servant leadership mentality with a commitment to our core values and the ability to build strong, collaborative relationships.
Excellent written, verbal, and interpersonal communication skills.
An understanding of (or willingness to learn) the financial and operating management of a hospital.
Proficiency in intermediate computer skills (MS Office, Outlook, etc.).
Enthusiasm and a desire to be part of a progressive, growth-oriented culture.
Will Accept a New Grad?
No
Back to Open positions
Submit a Candidate
Share this job
Email
Facebook
LinkedIn
X
WeChat
Xing
Similar jobs
Founding Partner Veterinarian - Bonita
Veterinarian at Countryside Veterinary Clinic in Yorkville, Illinois
Payroll Coordinator
View all
© 2026 | Mission Pet Health
Privacy Policy"
"10","MPH-52673","Associate Veterinarian","General Practice Care","Associate Veterinarian","2707 S Austin Ave","Georgetown","TX","78626","Georgetown Veterinary Hospital","+15128633563","https://gtvet.com/?utm_source=gmb&utm_medium=organic","","Full-Time","https://missionpethealth.avature.net/agency/JobDetail?jobId=52673","=== PAGE CONTENT ===
Job Description
What Your Day-to-Day Looks Like
Build Lasting Relationships: Connect with clients and their pets, becoming their trusted partner in a pet's lifelong health.
Practice Your Best Medicine: From diagnosis to treatment, you'll lead patient care with the freedom to uphold the highest standards.
Educate and Empower: Clearly communicate findings and treatment plans, empowering clients to make informed decisions.
Collaborate and Grow: Work alongside a supportive paraprofessional team, contributing to a positive hospital culture.
Who We're Looking For
Doctor of Veterinary Medicine (DVM) degree.
A valid state license and in good standing to practice.
A collaborative spirit and a dedication to practicing the highest standard of medicine.
Excellent communication skills with a positive, friendly attitude.
Will Accept a New Grad?
No
Back to Open positions
Submit a Candidate
Share this job
Email
Facebook
LinkedIn
X
WeChat
Xing
Similar jobs
Founding Partner Veterinarian - Bonita
Veterinarian at Countryside Veterinary Clinic in Yorkville, Illinois
Payroll Coordinator
View all
© 2026 | Mission Pet Health
Privacy Policy"
