#,Job Title,Job ID,Hospital,Aggregator,Street Address,City,State,Zip Code,Phone,Website,Location,Area of Practice,Position,Salary,Job Type,Experience,Link,Description
1,"Founding Partner Veterinarian - Bonita","MPH-54728","Livewell Animal Hospital of Bonita","Mission Pet Health (Parent Client)","","","","","","","Chula Vista, California","Emergency Care","Associate Veterinarian","","Full-Time","4+ years","https://missionpethealth.avature.net/agency/JobDetail?jobId=54728","=== JOB DETAIL FIELDS ===
Job ID: 54728
Job Title: Founding Partner & Lead Veterinarian
State: California
City: Chula Vista
Hospital Name: Livewell Animal Hospital of Bonita
Number of Openings: 1
Posted Date: 04-22-2026
Recruiter: Jennifer Oliver
jennifer.oliver@svp.vet
Pay Class: Full-Time

=== DESCRIPTION & REQUIREMENTS ===
Your Impact as a Founding Partner & Lead Veterinarian

This is more than a leadership role; it's an opportunity to build and lead a practice with the full backing of an established network. As the Founding Partner & Lead Veterinarian, you will be the cornerstone of the hospital, responsible for establishing a gold-standard medical culture, mentoring your team, and driving the business's success as a true owner.

Build a Thriving Practice Culture: You will be the architect of a client-first, collaborative culture, setting the tone for medical excellence and teamwork from day one.
Lead and Mentor Your Medical Team: You will recruit, onboard, and develop your associate veterinarians and paraprofessional staff, fostering a team that is highly skilled, efficient, and engaged.
Drive Medical and Surgical Excellence: You will set and maintain the hospital's standard of care, ensuring the delivery of excellent patient care and providing mentorship in general surgery and dentistry.
Partner in Business Ownership:You will work directly with your Hospital Manager to manage the hospital's financial performance, making strategic decisions that drive top-line revenue growth and long-term success.

What You'll Bring to the Team
Doctor of Veterinary Medicine (DVM) degree and a license in good standing to practice.
A minimum of 4+ years of experience as a veterinarian, with a strong foundation in general medicine, surgery, and dentistry.
A compassionate and collaborative leadership style with the ability to mentor and develop associate veterinarians and support staff.
An entrepreneurial spirit and a strong understanding of what it takes to run a successful practice.
Previous formal leadership or management experience is a significant plus.

Will Accept a New Grad?: No"
2,"Veterinarian at Countryside Veterinary Clinic in Yorkville, Illinois","MPH-54584","Countryside Veterinary Clinic","Mission Pet Health (Parent Client)","","","","","","","Yorkville, Illinois","General Practice Care","Associate Veterinarian","","Full-Time","","https://missionpethealth.avature.net/agency/JobDetail?jobId=54584","=== JOB DETAIL FIELDS ===
Job ID: 54584
Job Title: Veterinarian
State: Illinois
City: Yorkville
Hospital Name: Countryside Veterinary Clinic
Number of Openings: 1
Posted Date: 04-20-2026
Recruiter: Christie O'Quinn
christie.oquinn@mvetpartners.com
Pay Class: Full-Time

=== DESCRIPTION & REQUIREMENTS ===
What Your Day-to-Day Looks Like
Build Lasting Relationships: Connect with clients and their pets, becoming their trusted partner in a pet's lifelong health.
Practice Your Best Medicine: From diagnosis to treatment, you'll lead patient care with the freedom to uphold the highest standards.
Educate and Empower: Clearly communicate findings and treatment plans, empowering clients to make informed decisions.
Collaborate and Grow: Work alongside a supportive paraprofessional team, contributing to a positive hospital culture.
Who We're Looking For
Doctor of Veterinary Medicine (DVM) degree.
A valid state license and in good standing to practice.
A collaborative spirit and a dedication to practicing the highest standard of medicine.
Excellent communication skills with a positive, friendly attitude.

Will Accept a New Grad?: No"
3,"Veterinarian","MPH-54355","Delray Beach Animal Hospital","Mission Pet Health (Parent Client)","","","","","","","Delray Beach, Florida","General Practice Care","Associate Veterinarian","","Full-Time","","https://missionpethealth.avature.net/agency/JobDetail?jobId=54355","=== JOB DETAIL FIELDS ===
Job ID: 54355
Job Title: Veterinarian
State: Florida
City: Delray Beach
Hospital Name: Delray Beach Animal Hospital
Number of Openings: 1
Posted Date: 04-13-2026
Recruiter: Scott Beazley
Scott.Beazley@missionpethealth.com
Pay Class: Full-Time

=== DESCRIPTION & REQUIREMENTS ===
What Your Day-to-Day Looks Like
Build Lasting Relationships: Connect with clients and their pets, becoming their trusted partner in a pet's lifelong health.
Practice Your Best Medicine: From diagnosis to treatment, you'll lead patient care with the freedom to uphold the highest standards.
Educate and Empower: Clearly communicate findings and treatment plans, empowering clients to make informed decisions.
Collaborate and Grow: Work alongside a supportive paraprofessional team, contributing to a positive hospital culture.
Who We're Looking For
Doctor of Veterinary Medicine (DVM) degree.
A valid state license and in good standing to practice.
A collaborative spirit and a dedication to practicing the highest standard of medicine.
Excellent communication skills with a positive, friendly attitude.

Will Accept a New Grad?: No"
4,"Veterinarian","MPH-53629","Waterway Animal Hospital","Mission Pet Health (Parent Client)","","","","","","","Little River, South Carolina","General Practice Care","Associate Veterinarian","","Full-Time","","https://missionpethealth.avature.net/agency/JobDetail?jobId=53629","=== JOB DETAIL FIELDS ===
Job ID: 53629
Job Title: Veterinarian
State: South Carolina
City: Little River
Hospital Name: Waterway Animal Hospital
Number of Openings: 1
Posted Date: 10-24-2025
Recruiter: Anna Zingleman
rebecca.metheny@mvetpartners.com
Pay Class: Full-Time

=== DESCRIPTION & REQUIREMENTS ===
What Your Day-to-Day Looks Like
Build Lasting Relationships: Connect with clients and their pets, becoming their trusted partner in a pet's lifelong health.
Practice Your Best Medicine: From diagnosis to treatment, you'll lead patient care with the freedom to uphold the highest standards.
Educate and Empower: Clearly communicate findings and treatment plans, empowering clients to make informed decisions.
Collaborate and Grow: Work alongside a supportive paraprofessional team, contributing to a positive hospital culture.
Who We're Looking For
Doctor of Veterinary Medicine (DVM) degree.
A valid state license and in good standing to practice.
A collaborative spirit and a dedication to practicing the highest standard of medicine.
Excellent communication skills with a positive, friendly attitude.

Will Accept a New Grad?: No"
5,"Associate Veterinarian","MPH-53475","Mayde Creek Animal Health Center","Mission Pet Health (Parent Client)","","","","","","","Katy, Texas","General Practice Care","Associate Veterinarian","","Full-Time","","https://missionpethealth.avature.net/agency/JobDetail?jobId=53475","=== JOB DETAIL FIELDS ===
Job ID: 53475
Job Title: Veterinarian
State: Texas
City: Katy
Hospital Name: Mayde Creek Animal Health Center
Number of Openings: 1
Posted Date: 03-18-2026
Recruiter: Clarissa Martinez
Clarissa.Martinez@mvetpartners.com
Pay Class: Full-Time

=== DESCRIPTION & REQUIREMENTS ===
What Your Day-to-Day Looks Like
Build Lasting Relationships: Connect with clients and their pets, becoming their trusted partner in a pet's lifelong health.
Practice Your Best Medicine: From diagnosis to treatment, you'll lead patient care with the freedom to uphold the highest standards.
Educate and Empower: Clearly communicate findings and treatment plans, empowering clients to make informed decisions.
Collaborate and Grow: Work alongside a supportive paraprofessional team, contributing to a positive hospital culture.
Who We're Looking For
Doctor of Veterinary Medicine (DVM) degree.
A valid state license and in good standing to practice.
A collaborative spirit and a dedication to practicing the highest standard of medicine.
Excellent communication skills with a positive, friendly attitude.

Will Accept a New Grad?: Yes"
6,"Veterinarian","MPH-53106","FloridaWild Veterinary Hospital","Mission Pet Health (Parent Client)","","","","","","","DeLand, Florida","General Practice Care","Associate Veterinarian","","Full-Time","","https://missionpethealth.avature.net/agency/JobDetail?jobId=53106","=== JOB DETAIL FIELDS ===
Job ID: 53106
Job Title: Veterinarian
State: Florida
City: DeLand
Hospital Name: FloridaWild Veterinary Hospital
Number of Openings: 1
Posted Date: 03-09-2026
Recruiter: Scott Beazley
Scott.Beazley@missionpethealth.com
Pay Class: Full-Time

=== DESCRIPTION & REQUIREMENTS ===
What Your Day-to-Day Looks Like
Build Lasting Relationships: Connect with clients and their pets, becoming their trusted partner in a pet's lifelong health.
Practice Your Best Medicine: From diagnosis to treatment, you'll lead patient care with the freedom to uphold the highest standards.
Educate and Empower: Clearly communicate findings and treatment plans, empowering clients to make informed decisions.
Collaborate and Grow: Work alongside a supportive paraprofessional team, contributing to a positive hospital culture.
Who We're Looking For
Doctor of Veterinary Medicine (DVM) degree.
A valid state license and in good standing to practice.
A collaborative spirit and a dedication to practicing the highest standard of medicine.
Excellent communication skills with a positive, friendly attitude.

Will Accept a New Grad?: Yes"
7,"Medical Lead Veterinarian","MPH-53081","Animal Care of Ponte Vedra","Mission Pet Health (Parent Client)","","","","","","","Ponte Vedra Beach, Florida","General Practice Care","Lead Veterinarian","","Full-Time","","https://missionpethealth.avature.net/agency/JobDetail?jobId=53081","=== JOB DETAIL FIELDS ===
Job ID: 53081
Job Title: Medical Lead
State: Florida
City: Ponte Vedra Beach
Hospital Name: Animal Care of Ponte Vedra
Number of Openings: 1
Posted Date: 03-07-2026
Recruiter: Kelly Wethington
Scott.Beazley@missionpethealth.com
Pay Class: Full-Time

=== DESCRIPTION & REQUIREMENTS ===
Your Impact as a Medical Lead Veterinarian

As the Medical Lead Veterinarian, you are the champion of medical excellence in your hospital. You will be responsible for mentoring and developing your associate veterinarians, partnering with your Practice Manager to build a healthy and engaged team, and driving the continuous improvement of patient care and client service. This is a key leadership role where you will set the standard for clinical quality and foster a culture of collaboration and growth.

Lead and Mentor Your DVM Team: You will manage all associate veterinarians, conducting regular performance discussions, coaching them on individual development goals (including production and PCT), and fostering a culture of teamwork and retention.
Role Model Medical Excellence: You will set the example for the highest quality of medicine, client service, and efficiency, while also practicing as an associate veterinarian and achieving your own production goals.
Drive Hospital Performance: In partnership with your Practice Manager, you will help develop the annual operating plan, manage hospital financial performance toward an EBITDA goal, and ensure compliance with all medical and DEA regulations.
Foster a Culture of Growth: You will lead monthly doctor meetings to discuss best practices, new services, and medical standards. You will also supervise externship and mentorship programs and champion a culture of recruitment.
Be an Ambassador: You will serve as an ambassador for your hospital and Mission Pet Health through community engagement at schools, universities, and local events.
What You'll Bring to the Team
Doctor of Veterinary Medicine (DVM) degree and a valid state license in good standing.
A minimum of 2 years of practical clinical experience.
A servant leadership mentality with a commitment to our core values and the ability to build strong, collaborative relationships.
Excellent written, verbal, and interpersonal communication skills.
An understanding of (or willingness to learn) the financial and operating management of a hospital.
Proficiency in intermediate computer skills (MS Office, Outlook, etc.).
Enthusiasm and a desire to be part of a progressive, growth-oriented culture.

Will Accept a New Grad?: No"
8,"Medical Lead Veterinarian at Capitol Illini Springfield","MPH-53063","Capitol Illini Veterinary Services - Springfield","Mission Pet Health (Parent Client)","","","","","","","Springfield, Illinois","General Practice Care","Lead Veterinarian","","Full-Time","","https://missionpethealth.avature.net/agency/JobDetail?jobId=53063","=== JOB DETAIL FIELDS ===
Job ID: 53063
Job Title: Medical Lead
State: Illinois
City: Springfield
Hospital Name: Capitol Illini Veterinary Services - Springfield
Number of Openings: 1
Posted Date: 03-06-2026
Recruiter: Christie O'Quinn
christie.oquinn@mvetpartners.com
Pay Class: Full-Time

=== DESCRIPTION & REQUIREMENTS ===
Your Impact as a Medical Lead Veterinarian

As the Medical Lead Veterinarian, you are the champion of medical excellence in your hospital. You will be responsible for mentoring and developing your associate veterinarians, partnering with your Practice Manager to build a healthy and engaged team, and driving the continuous improvement of patient care and client service. This is a key leadership role where you will set the standard for clinical quality and foster a culture of collaboration and growth.

Lead and Mentor Your DVM Team: You will manage all associate veterinarians, conducting regular performance discussions, coaching them on individual development goals (including production and PCT), and fostering a culture of teamwork and retention.
Role Model Medical Excellence: You will set the example for the highest quality of medicine, client service, and efficiency, while also practicing as an associate veterinarian and achieving your own production goals.
Drive Hospital Performance: In partnership with your Practice Manager, you will help develop the annual operating plan, manage hospital financial performance toward an EBITDA goal, and ensure compliance with all medical and DEA regulations.
Foster a Culture of Growth: You will lead monthly doctor meetings to discuss best practices, new services, and medical standards. You will also supervise externship and mentorship programs and champion a culture of recruitment.
Be an Ambassador: You will serve as an ambassador for your hospital and Mission Pet Health through community engagement at schools, universities, and local events.
What You'll Bring to the Team
Doctor of Veterinary Medicine (DVM) degree and a valid state license in good standing.
A minimum of 2 years of practical clinical experience.
A servant leadership mentality with a commitment to our core values and the ability to build strong, collaborative relationships.
Excellent written, verbal, and interpersonal communication skills.
An understanding of (or willingness to learn) the financial and operating management of a hospital.
Proficiency in intermediate computer skills (MS Office, Outlook, etc.).
Enthusiasm and a desire to be part of a progressive, growth-oriented culture.

#AVMA

Will Accept a New Grad?: No"
9,"Medical Lead Veterinarian at Countryside Veterinary Clinic near Chicago, Illinois","MPH-52923","Countryside Veterinary Clinic","Mission Pet Health (Parent Client)","","","","","","","Yorkville, Illinois","General Practice Care","Lead Veterinarian","","Full-Time","","https://missionpethealth.avature.net/agency/JobDetail?jobId=52923","=== JOB DETAIL FIELDS ===
Job ID: 52923
Job Title: Medical Lead
State: Illinois
City: Yorkville
Hospital Name: Countryside Veterinary Clinic
Number of Openings: 1
Posted Date: 02-27-2026
Recruiter: Christie O'Quinn
christie.oquinn@mvetpartners.com
Pay Class: Full-Time

=== DESCRIPTION & REQUIREMENTS ===
Your Impact as a Medical Lead Veterinarian

As the Medical Lead Veterinarian, you are the champion of medical excellence in your hospital. You will be responsible for mentoring and developing your associate veterinarians, partnering with your Practice Manager to build a healthy and engaged team, and driving the continuous improvement of patient care and client service. This is a key leadership role where you will set the standard for clinical quality and foster a culture of collaboration and growth.

Lead and Mentor Your DVM Team: You will manage all associate veterinarians, conducting regular performance discussions, coaching them on individual development goals (including production and PCT), and fostering a culture of teamwork and retention.
Role Model Medical Excellence: You will set the example for the highest quality of medicine, client service, and efficiency, while also practicing as an associate veterinarian and achieving your own production goals.
Drive Hospital Performance: In partnership with your Practice Manager, you will help develop the annual operating plan, manage hospital financial performance toward an EBITDA goal, and ensure compliance with all medical and DEA regulations.
Foster a Culture of Growth: You will lead monthly doctor meetings to discuss best practices, new services, and medical standards. You will also supervise externship and mentorship programs and champion a culture of recruitment.
Be an Ambassador: You will serve as an ambassador for your hospital and Mission Pet Health through community engagement at schools, universities, and local events.
What You'll Bring to the Team
Doctor of Veterinary Medicine (DVM) degree and a valid state license in good standing.
A minimum of 2 years of practical clinical experience.
A servant leadership mentality with a commitment to our core values and the ability to build strong, collaborative relationships.
Excellent written, verbal, and interpersonal communication skills.
An understanding of (or willingness to learn) the financial and operating management of a hospital.
Proficiency in intermediate computer skills (MS Office, Outlook, etc.).
Enthusiasm and a desire to be part of a progressive, growth-oriented culture.

#AVMA

Will Accept a New Grad?: No"
10,"Medical Lead Veterinarian","MPH-52697","All Dogs & Cats Veterinary Hospital - Glenwood Springs","Mission Pet Health (Parent Client)","","","","","","","Glenwood Springs, Colorado","General Practice Care","Lead Veterinarian","","Full-Time","","https://missionpethealth.avature.net/agency/JobDetail?jobId=52697","=== JOB DETAIL FIELDS ===
Job ID: 52697
Job Title: Medical Lead
State: Colorado
City: Glenwood Springs
Hospital Name: All Dogs & Cats Veterinary Hospital - Glenwood Springs
Number of Openings: 1
Posted Date: 02-19-2026
Recruiter: Sarah Thomas
Sarah.Thomas@missionpethealth.com
Pay Class: Full-Time

=== DESCRIPTION & REQUIREMENTS ===
Your Impact as a Medical Lead Veterinarian

As the Medical Lead Veterinarian, you are the champion of medical excellence in your hospital. You will be responsible for mentoring and developing your associate veterinarians, partnering with your Practice Manager to build a healthy and engaged team, and driving the continuous improvement of patient care and client service. This is a key leadership role where you will set the standard for clinical quality and foster a culture of collaboration and growth.

Lead and Mentor Your DVM Team: You will manage all associate veterinarians, conducting regular performance discussions, coaching them on individual development goals (including production and PCT), and fostering a culture of teamwork and retention.
Role Model Medical Excellence: You will set the example for the highest quality of medicine, client service, and efficiency, while also practicing as an associate veterinarian and achieving your own production goals.
Drive Hospital Performance: In partnership with your Practice Manager, you will help develop the annual operating plan, manage hospital financial performance toward an EBITDA goal, and ensure compliance with all medical and DEA regulations.
Foster a Culture of Growth: You will lead monthly doctor meetings to discuss best practices, new services, and medical standards. You will also supervise externship and mentorship programs and champion a culture of recruitment.
Be an Ambassador: You will serve as an ambassador for your hospital and Mission Pet Health through community engagement at schools, universities, and local events.
What You'll Bring to the Team
Doctor of Veterinary Medicine (DVM) degree and a valid state license in good standing.
A minimum of 2 years of practical clinical experience.
A servant leadership mentality with a commitment to our core values and the ability to build strong, collaborative relationships.
Excellent written, verbal, and interpersonal communication skills.
An understanding of (or willingness to learn) the financial and operating management of a hospital.
Proficiency in intermediate computer skills (MS Office, Outlook, etc.).
Enthusiasm and a desire to be part of a progressive, growth-oriented culture.

Will Accept a New Grad?: No"
