#,Job Title,Job ID,Hospital,Street Address,City,State,Zip Code,Location,Area of Practice,Position,Salary,Link,Description
1,"Associate Veterinarian","UVC-oxgLzfwR","Androscoggin Animal Hospital","457 Foreside Road","Topsham","ME","04086","Topsham, ME","General Practice Care","Associate Veterinarian","","https://jobs.jobvite.com/unitedveterinarycare/job/oxgLzfwR","Description
Position at Androscoggin Animal Hospital

Associate Veterinarian 
Androscoggin Animal Hospital (Topsham, ME)
If you’re looking for a veterinary home where teamwork actually means something, where your input is valued, and where lunch breaks really do happen — Androscoggin Animal Hospital might be the perfect fit.
We’re an AAHA-accredited, seven-doctor practice (but we'd like to be fully rounded with eight or nine!) proudly serving the pets of Southern Maine since 1985. Around here, excellence isn’t just a buzzword — it’s the standard. Our team is known for delivering top-tier medicine (AAHA sets the bar high!), but also for being downright good humans who take care of each other. Many of our staff members have been with us for years — even decades — and that longevity says it all.
What We’re Looking For
We’re open to veterinarians of all experience levels, but we’d especially love to add someone who’s confident in (or excited to learn more about) exotic pet care — from bunnies to bearded dragons. You’ll have a strong, experienced support team behind you so you can focus on what you do best: practicing great medicine and connecting with clients.
What Makes Us Different
AAHA-accredited means we meet over 900 standards of veterinary excellence — and we’re proud of it.
No overnights, no on-call — we believe rest is part of doing your best work.
Half-day Saturdays (shared rotation) so you can start your weekend early.
Midday breaks built into the schedule — time to catch up on notes, treatments, or just breathe. Some of our staff like to go for a walk down the beautiful country road, work out (in our on-site exercise room!), or just take the time to breathe
A full, skilled support staff that keeps things running smoothly (and laughs often).
A culture that’s supportive, positive, and genuinely fun — our team works hard and has each other’s backs.
About Life in Topsham
Topsham sits right on the Androscoggin River, just across from Brunswick and minutes from Freeport (hello, L.L. Bean!). On your days off, you can kayak, hike, ski, or grab some of Maine’s best seafood — all without straying far from home. Boston, the White Mountains, and even Montreal are just a few hours away if you’re craving a bigger adventure.
If you’re looking for a team that values medicine and morale, we’d love to hear from you. Come see why we were voted “Best of the Best Veterinarian” in Downeast Dog News for multiple years, and why our staff sticks around — not because they have to, but because they want to.
 
United Veterinary Care provides equal employment opportunities to all employees and applicants for employment in all job classifications without regard to race, color, religion, age, mental disability, physical disability, medical condition, gender, sexual orientation, genetic information, ancestry, marital status, national origin, veteran status, and other classifications protected by applicable state and local non-discrimination laws."
2,"Associate Veterinarian","UVC-oqQpxfwW","Firehouse 183","Firehouse","Austin","Texas","78739","Austin, Texas","General Practice Care","Associate Veterinarian","$95,000 - $160,000","https://jobs.jobvite.com/unitedveterinarycare/job/oqQpxfwW","Description
Position at Firehouse 183

Firehouse Animal Health Centers, where 100 little things make a BIG difference! https://firehouse.vet/100-little-things/

Firehouse is looking for a Veterinarian to join our awesome 183 team! Curious about what sets Firehouse apart? Watch a short video featuring insights from a few of our exceptional Firehouse doctors.     

Here are some things you should know:

We offer flexible schedule options and maintain at least a 2:1 Tech / Veterinarian ratio.
We take a team approach to veterinary medicine.
We apply a Diversity, Equity, Inclusion lens in everything we do. This is a continued focus for Firehouse.
We use AVImark - If you have experience with it great! If not, our team is happy to teach you.
We love to give back to the community - We donate veterinary services, help with fundraisers, and volunteer our time to our community partners.
We believe in building relationships with our clients to improve our ability to provide the best care possible for our patients. We offer communication and leadership training to accomplish these goals.
We provide a Fear Free environment for our patients. To achieve this, we provide Fear Free training for our Teams, including you!
CE: Paid CE days + Allowance + Fear Free Certification + Feline Friendly
Dues and Fees Paid: DEA, AVMA, State / Local VMAs, VIN
Generous ProSal Compensation With NO Negative Accrual
Benefits: FT Team Members are eligible for Medical, Dental, Vision, 401k, 401k Match, Team Member Discounts, Uniforms, Paid Time Off, Holiday pay
Veterinarian Mentorship Available – regardless of experience level

Education

DVM, VMD or equivalent degree
Licenses / registrations in compliance with local, state, and national laws (must be authorized to work in the U.S. we do not provide VISA sponsorship) 

The greater Austin area sits on the edge of ""The Texas Hill Country,” and is a great destination for outdoor enthusiasts due to the hiking, mountain biking, climbing, road cycling, and water activities available at our many regional lakes. Many rivers and lakes in the area host water-based sports such as standup paddleboard, kayaking, canoeing, water skiing, tubing, wakeboarding, fishing, and rowing. The culinary and nightlife activities of The Hill Country have a little something for everyone and continue to grow. As the ""Live Music Capital"" of the world, there is music and dancing to be found every single night of the week. Come see this awesome pet-friendly college town full of activities that support individuals and families. 

For more information about Firehouse and our Veterinarian position, visit our website, https://firehouse.vet/careers. We hope to see you soon!    

Pay Range: $95,000 - $160,000"
3,"Associate Veterinarian","UVC-oYlnzfwZ","Four Paws Veterinary Center","4524 Dublin Boulevard","Dublin","CA","94588","Dublin, CA","General Practice Care","Associate Veterinarian","Compensation: $130,000-$200,000 per year","https://jobs.jobvite.com/unitedveterinarycare/job/oYlnzfwZ","Description
Position at Four Paws Veterinary Center

Join Our Thriving Team at Four Paws Veterinary Center, Dublin, CA
 
Are you a dedicated veterinarian looking to thrive in a collaborative environment? Four Paws Veterinary Center in Dublin, CA, is seeking an experienced and passionate Associate Veterinarian to join our growing two-doctor practice. Specializing in high-quality care for dogs and cats, we offer the perfect opportunity for someone eager to engage with a diverse caseload of medical, dental, and surgical cases.
 
Why Choose Four Paws Veterinary Center?
At Four Paws Veterinary Center, we are committed to providing top-notch veterinary care while fostering a supportive and inclusive workplace. With a strong emphasis on client education and comprehensive care, our clinic is designed to ensure the best outcomes for both pets and their families. Our location in Dublin, just 35 miles from San Francisco, offers the perfect blend of suburban living and easy access to a variety of outdoor and cultural activities. You can cool down at the Wave Waterpark, stroll through the Rose Garden at Emerald Glen Park or visit the museum at Dublin Heritage Park.  We are 42 miles to Half Moon Bay to enjoy a beach day with an adorable downtown or 56 miles to Napa where you can enjoy beautiful landscapes and wine tasting. Dublin offers a pleasant and enriching lifestyle with excellent weather, top-rated schools, and endless recreational opportunities.
 
What We Offer:
Competitive Compensation: $130,000-$200,000 per year + Production, with sign-on and relocation bonuses available.
Comprehensive Benefits Package: Including medical, dental, and vision insurance, as well as Short and Long Term Disability options.
Retirement Savings: 401K with company match.
Professional Development: Continuing Education allowance, AVMA Professional Liability Insurance, and VIN membership provided.
Work-Life Balance: No overnights or on-call shifts, and paid time off for vacation, sick days, and continuing education.
Additional Perks: Employee Assistance Program, team member discounts on pet care, and more.
Responsibilities:
Provide high-quality veterinary care, with a focus on medical, dental, and surgical procedures.
Build and maintain strong client relationships through exceptional communication and education.
Collaborate with our veterinary team in a positive and respectful environment.
Ensure timely and efficient case management with comprehensive medical records.
Educate clients on preventive care, nutrition, and overall pet health.
Who You Are:
A Doctor of Veterinary Medicine (DVM) degree holder.
Licensed to practice veterinary medicine in California, or eligible for licensure.
Passionate about engaging with a diverse caseload, including medical, dental, and surgical cases.
Committed to fostering client relationships and providing top-notch veterinary care.
Join Our Family
At Four Paws Veterinary Center, we are more than just a clinic—we are a family. As a proud United Veterinary Care Partner hospital, we celebrate the unique culture of each partner while benefiting from the support and resources that encourage fulfilling careers in veterinary medicine.
Join us at Four Paws Veterinary Center and contribute to making a positive impact on the lives of pets and their families while enjoying a balanced and rewarding career.
Apply today and be a part of our compassionate team!
 
 
 
ind1"
4,"Associate Veterinarian","UVC-owF1yfwu","Helping Hands Affordable Veterinary Surgery and Dental Care","","Richmond","VA","","Richmond, VA","Specialty Care","Dental Specialist","Compensation: $110,000–$150,000 per year","https://jobs.jobvite.com/unitedveterinarycare/job/owF1yfwu","Description
Position at Helping Hands Affordable Veterinary Surgery and Dental Care

Associate Veterinarian - Helping Hands Veterinary Surgery & Dentistry
Are you passionate about surgery and dentistry and looking for a role where you can truly make a difference? Helping Hands is seeking a compassionate, skilled, and enthusiastic Associate Veterinarian to join our mission-driven team.
At Helping Hands, we believe every pet deserves access to high-quality care. Our model focuses on providing exceptional surgical and dental services at an affordable cost—helping improve patient outcomes and reducing the heartbreaking need for economic euthanasia.
Why Join Helping Hands?
High Surgical & Dental Volume
Grow, refine, and expand your skill set with a diverse caseload and opportunities to learn new techniques.
Freedom to Practice Medicine
Our fixed-price structure eliminates financial pressure and allows you to focus purely on delivering the best care for each patient.
A True Work/Life Balance
Enjoy a Monday–Friday schedule with no required nights or weekends. Optional compensated emergency shifts are available—but never expected.
Flexibility That Fits Your Life
Full-time and part-time opportunities available
What You’ll Do
Confidently perform a wide range of soft tissue surgeries.
Interpret dental radiographs and perform multi-rooted extractions with proficiency.
Provide an exceptional level of care to every patient.
Build strong relationships with referring veterinarians and local partners.
Embody and champion the mission, values, and standards of Helping Hands.
Follow hospital policies and uphold high-quality medical recordkeeping.
Foster a collaborative, team-oriented environment.
What We’re Looking For
DVM or equivalent degree
A minimum of 2 years of post-graduate clinical experience
Active, in-good-standing state veterinary license
What We Offer
Competitive Compensation: $110,000–$150,000 per year
Comprehensive Benefits Package: Medical, dental, and vision insurance, plus options for Short-Term and Long-Term Disability
Retirement Savings: 401(k) with company match
Professional Growth: Generous Continuing Education Program, AVMA Professional Liability Insurance (PLIT), and VIN membership provided
Work–Life Balance: Paid time off—including sick, personal, vacation, and continuing education days
Additional Perks: Employee Assistance Program, team member pet-care discounts, and more

 

We are a proud United Veterinary Care Partner hospital. United Veterinary Care supports the unique culture and individuality of each partner hospital while empowering the hospital teams in their care for patients. One of our goals is to support our community of hospitals in creating sustainable, fulfilling careers in a profession we love. 

United Veterinary Care provides equal employment opportunities to all employees and applicants for employment in all job classifications without regard to race, color, religion, age, mental disability, physical disability, medical condition, gender, sexual orientation, genetic information, ancestry, marital status, national origin, veteran status, and other classifications protected by applicable state and local non-discrimination laws. 


IND123456


#IH"
5,"Associate Veterinarian","UVC-o3lnzfw4","Gentle Care Veterinary Hospital","","Hayward","CA","","Hayward, CA","General Practice Care","Associate Veterinarian","Salary: $145,000–$185,000","https://jobs.jobvite.com/unitedveterinarycare/job/o3lnzfw4","Description
Position at Gentle Care Veterinary Hospital

Associate Veterinarian – Gentle Care Veterinary Hospital, Hayward, CA
Where quality medicine meets compassionate connection.
 
Are you a passionate veterinarian who believes that “gentle care” isn’t just a name—it’s a philosophy? At Gentle Care Veterinary Hospital in Hayward, we’re looking for an experienced
 
Associate Veterinarian to join our dedicated team.
💰 Salary: $145,000–$185,000/year + production bonus
🎉 Sign-on bonus: Yes, because we’re excited to meet you!
 
Our full-service hospital proudly serves the Bay Area, offering everything from routine wellness to emergency care for companion animals. We’re known for practicing cutting-edge medicine with a warm, personal touch—and we’re looking for a veterinarian who shares that same commitment.

What You’ll Do

Deliver high-quality, compassionate veterinary care using modern diagnostics and treatment methods
Build strong, trusting relationships with clients and their pets
Educate pet parents on preventive care and long-term wellness
Triage and treat emergencies with confidence and care
Maintain accurate medical records and support a collaborative team environment

What We’re Looking For

DVM or equivalent degree
Active California veterinary license in good standing
A strong communicator with a client-focused mindset
A team player who thrives in a positive, community-oriented culture

What You’ll Love About Working Here

Competitive salary + production bonus
Medical, dental, and vision insurance
401(k) with company match
Generous CE allowance
Paid time off + personal pet discounts
Flexible spending accounts
Company-sponsored Employee Assistance Program (EAP)
A supportive, empowered culture through our partnership with United Veterinary Care
At Gentle Care, you’ll find more than a job—you’ll find a place where your compassion, skill, and love for animals truly make a difference. Join a team that values collaboration, growth, and the joy of helping pets live their best lives.
🐾 Come grow with us at Gentle Care Veterinary Hospital—where every day, gentle hands make a big impact."
6,"Associate Veterinarian","UVC-o5fLzfwo","Vitality Veterinary of Swansea","","Swansea","MA","","Swansea, MA","General Practice Care","Associate Veterinarian","$120,000 - $140,000","https://jobs.jobvite.com/unitedveterinarycare/job/o5fLzfwo","Learn more about Vitality Veterinary of Swansea here:
Description
Position at Vitality Veterinary of Swansea

Associate Veterinarian 
Vitality Veterinary Services - Swansea, MA
We've expanded—and we're just getting started!
Vitality Veterinary Services has officially leveled up. We’ve moved from our original 1,300 sq. ft. facility into a brand-new, state-of-the-art 4,000+ sq. ft. hospital equipped with the latest in veterinary medical technology. Our mission remains the same: delivering exceptional care with compassion, integrity, and heart.
Whether it's a routine wellness visit or advanced diagnostics and surgery, our experienced team provides high-quality care that pet families can trust. And now, we're looking to grow our team!
We’re seeking a full-time Associate Veterinarian who shares our passion for pets and the people who love them.
What We’re Looking For:
Are you someone who is...
Passionate about veterinary medicine and animal welfare?
Excited to be part of a collaborative, supportive team?
Always striving to learn and grow professionally?
If so, we’d love to meet you!
Why Vitality Veterinary?
When you join our team, you're not just taking a job—you're becoming part of a practice that truly cares. We foster a positive, respectful culture where your voice matters, your growth is supported, and your work-life balance is respected.
Here's what you'll enjoy as part of our team:
Pay range: $120,000 - $140,000 (depending on experience)
Complimentary Short-Term Disability and Life Insurance
Additional voluntary benefits for you and your family
Company-Sponsored Employee Assistance Program (including Headspace)
401(k) with up to 4% company match
Multiple medical insurance plans through BCBS
Health Savings & Flexible Spending Account options
Fully paid dental insurance option
Vision coverage
Optional Long-Term Disability
Fertility & family-building support through Progyny
Generous CE allowance
Paid time off (vacation, sick time, personal days, and CE)
Team member discounts on veterinary services
AVMA PLIT liability coverage
Memberships to VIN, state licensing/DEA/AVMA dues reimbursement
Access to major publisher resources (Sage, Wiley, Elsevier)
Referral bonus program
DailyPay (access your earnings when you need them)
About Swansea, MA:
Swansea offers the best of both worlds—small-town charm and big-city access. Just a short drive to both Boston and Providence, it’s a peaceful, family-friendly community with scenic parks, a strong sense of community, and plenty of local gems to explore. It's the perfect place to build a rewarding career and enjoy a fulfilling personal life.
Let’s connect!
If you're ready to join a vibrant, growing practice with heart, we’d love to talk about how you fit into our future.
We are a proud United Veterinary Care Partner hospital. United Veterinary Care supports the unique culture and individuality of each partner hospital while empowering the hospital teams in their care for patients. One of our goals is to support our community of hospitals in creating sustainable, fulfilling careers in a profession we love.
 
 United Veterinary Care provides equal employment opportunities to all employees and applicants for employment in all job classifications without regard to race, color, religion, age, mental disability, physical disability, medical condition, gender, sexual orientation, genetic information, ancestry, marital status, national origin, veteran status, and other classifications protected by applicable state and local non-discrimination laws."
7,"Associate Veterinarian","UVC-on6VzfwH","St. Matthews Animal Clinic","","Louisville","KY","","Louisville, KY","Specialty Care","Dental Specialist","","https://jobs.jobvite.com/unitedveterinarycare/job/on6VzfwH","Description
Position at St. Matthews Animal Clinic

Associate Veterinarian – St. Matthews Animal Clinic | Louisville, KY



Are you a compassionate, dedicated veterinarian looking to make a difference in both pets’ and owners’ lives? St. Matthews Animal Clinic, “The Clinic with a Big Heart,” is seeking a passionate Associate Veterinarian to join our AAHA-accredited, full-service practice in Louisville, KY.

We provide exceptional patient care and high-quality client service using state-of-the-art equipment, including ultrasound, dentistry, and therapeutic laser. Our hospital also offers medical boarding and grooming, allowing us to meet all the needs of our clients and their pets.

Our team is committed to fostering an inclusive, supportive, and collaborative environment, where every patient and client experiences compassionate care. We are equally passionate about giving back to our community, supporting local shelters, volunteering, and participating in fundraisers alongside our veterinary partners.


Why St. Matthews Animal Clinic?

Flexible doctor schedules to support work-life balance

Generous Paid Time Off (PTO) including vacation, sick, personal, and CE days

401(k) plan with company match

Employer-provided short-term disability and life insurance

Comprehensive medical, dental, and vision plans with multiple options

Flexible Spending Account (FSA) or Health Savings Account (HSA)

Long-term disability coverage

Robust Continuing Education (CE) program

Employee discounts on veterinary care

AVMA Professional Liability Insurance (PLIT) and VIN membership

Reimbursement for state veterinary license, DEA license, state VMA dues, AVMA dues, and specialty dues

Referral bonus program & DailyPay on Demand


About Louisville:

Thinking about relocating? Louisville is a vibrant city with a thriving arts scene, amazing food, and endless outdoor activities. 



As a proud United Veterinary Care Partner hospital, we celebrate the unique culture of each partner hospital while supporting sustainable, fulfilling careers for veterinarians who are passionate about their profession.

Join a team that truly cares—about pets, people, and the community. Apply today!"
8,"Associate Veterinarian","UVC-o1x4yfwU","Firehouse Cedar Park","Firehouse to Red Horn Trail","Cedar Park","Texas","78613","Cedar Park, Texas","General Practice Care","Medical Director","$100,000 - $160,000","https://jobs.jobvite.com/unitedveterinarycare/job/o1x4yfwU","Description
Position at Firehouse Cedar Park

Where Passion Meets Purpose at Firehouse Cedar Park! 
 
Are you a passionate veterinarian ready to make a meaningful impact? Firehouse Animal Health Centers is hiring an Associate Veterinarian in Cedar Park, Texas. Join a team where collaboration, compassion, and growth come together, because at Firehouse, the little things done consistently make a BIG difference. 
Why Firehouse? 
We’re not your average veterinary practice. At Firehouse, we believe in creating exceptional experiences for pets, clients, and team members. Watch this short video to hear directly from our doctors about what makes Firehouse special. 
What Sets Us Apart:
Team-Based Medicine: We maintain a minimum 2:1 Tech-to-Vet ratio to support you in delivering top-tier care.
Fear Free & Feline Friendly: We prioritize patient comfort and support ongoing training for all team members.
Client Relationships: We invest in communication and leadership training to help you build lasting bonds with clients.
Community Impact: We give back through donated services, fundraisers, and volunteer work.
Inclusive Culture: We apply a Diversity, Equity, Inclusion lens in everything we do. 
Benefits and Perks:
Generous ProSal Compensation With NO Negative Accrual
Paid CE days + generous allowance
Fear Free Certification, and Feline Friendly training
Full-Time Benefits: eligible for Medical, Dental, Vision, 401k, 401k Match, Team Member Discounts, Uniforms, Paid Time Off, Holiday pay
Dues and Fees Paid: DEA, AVMA, State / Local VMAs, VIN
Veterinarian Mentorship: available at all experience levels
Pay Range: $100,000 - $160,000 annually 
Qualifications:
DVM, VMD, or equivalent degree required
Licenses / registrations in compliance with local, state, and national requirements (must be authorized to work in the U.S. we do not provide VISA sponsorship)
As an Associate Veterinarian, you'll: 
Deliver high-quality medical care and client education
Collaborate with a supportive team to ensure exceptional patient outcomes
Mentor and support team members while contributing to a positive hospital culture
Report to the Medical Director and work closely with the Hospital Manager to support hospital goals
Why Cedar Park? 
Cedar Park offers the perfect blend of suburban comfort and city convenience, just minutes from Austin. Enjoy family-friendly neighborhoods, top-rated schools, and easy access to hiking, lakes, and live music. It's a community that values connection and outdoor living. 
Ready to Make a Difference?
Your next chapter starts here. Explore open roles and apply today at: https://firehouse.vet/careers"
9,"Associate Veterinarian","UVC-ofJizfwz","Springhurst Animal Hospital","9909 Brownsboro Road","Louisville","KY","40241","Louisville, KY","General Practice Care","Associate Veterinarian","","https://jobs.jobvite.com/unitedveterinarycare/job/ofJizfwz","Description
Position at Springhurst Animal Hospital

Associate Veterinarian 

Springhurst Animal Hospital in Louisville, KY is excited to welcome an enthusiastic Associate Veterinarian to our vibrant and growing team!

Since our founding in 1999, we’ve been devoted to delivering top-tier medical services to dogs, cats, and exotic species including birds and reptiles. Our loyal clientele and expanding practice reflect our commitment to cutting-edge technology and integrative medicine. We pride ourselves on utilizing advanced tools such as digital x-ray, ultrasound, CO2 surgery laser, acupuncture, and laser therapy to ensure the highest standards of care.


At Springhurst, we cultivate a positive, fun, and supportive workplace where every team member is valued and empowered to grow. Here’s what you can look forward to:

Competitive Compensation: We recognize your hard work and dedication with a competitive base salary and production bonuses with no negative accrual. 

Professional Development: We support your growth with ample opportunities for continuing education and career advancement.

Comprehensive Benefits: Our benefits package is designed to support each team member.

Signing Bonus: Kickstart your journey with us and feel appreciated from day one.



If you’re ready to make a difference in the community while advancing your veterinary career, Springhurst Animal Hospital is the place for you. Join us in our mission to deliver excellence in veterinary care—apply today and become a part of our dedicated team!

 

Benefits and Perks:          

Generous PTO inclusive of sick, personal, vacation and CE

401K with 100% company match up to 3% and 50% company match up to 5%, eligible after 6 months of employment

Medical, vision and dental insurance with multiple options

Robust CE Program + Annual CE allowance

Paid VMA dues, DEA and state license fees

VIN Membership

AVMA Professional Liability Insurance (PLIT) provided

Complimentary Life Insurance

Complimentary Short-Term Disability

Company-sponsored Employee Assistance Program (Headspace)

Long-Term Disability option

Progyny-Fertility and Family Building Support

Employee Discounts for Pet Care

And More!


Requirements: 

Doctor of Veterinary Medicine (DVM) degree 

State Veterinary Board License in good standing 

  

Consider Relocating to Louisville: 

As the largest city in Kentucky, Louisville offers a diverse array of attractions and amenities that make it an appealing destination for potential relocation. Outdoor enthusiasts will appreciate the extensive park system, which includes scenic trails for hiking and biking as well as boating, kayaking and paddle-boarding on the Ohio River. A family-friendly city, Louisville, offers top-rated schools and a variety of neighborhoods to suit every lifestyle.  

We are a proud United Veterinary Care Partner hospital. United Veterinary Care supports the unique culture and individuality of each partner hospital while empowering the hospital teams in their care for patients. One of our goals is to support our community of hospitals in creating sustainable, fulfilling careers in a profession we love. 

 

ind1234"
10,"Associate Veterinarian","UVC-ogaMzfwv","Orange Veterinary Hospital","","Orange","CT","","Orange, CT","Specialty Care","Dental Specialist","","https://jobs.jobvite.com/unitedveterinarycare/job/ogaMzfwv","Description
Position at Orange Veterinary Hospital

Associate Veterinarian — Full-Time or Part-Time
Orange Veterinary Hospital — Orange, CT
Where great medicine meets great teamwork.
Imagine a place where medicine matters — really matters — but you still leave work feeling like you’ve actually enjoyed your day. That’s what we do every day at Orange Veterinary Hospital. We’re an AAHA-accredited, full-service general practice (yup, that’s a big deal) with robust wellness, dental, surgical, and diagnostic capabilities right in house. We see scheduled appointments, same-day visits, and 24/7 on-call consults, and we take pride in delivering excellent care that’s evidence-based, compassionate, and customized for each patient.
We’re on the lookout for a full- or part-time Associate Veterinarian (any experience level — seriously) to team up with our dynamic group of doctors and support staff who are as curious and collaborative as you are. Our team loves solving clinical puzzles and making clients feel heard and confident — because great communication is part of great medicine. 
Who You Are
A DVM (new grad or seasoned pro welcome!) with a passion for excellent general practice care
Eager to work collaboratively and continue learning (formal mentorship and development are things we actually care about) 
Able to build trusting relationships with clients and their pets
Comfortable performing routine wellness, diagnostics, soft tissue surgery, dentistry, and more (we’ve got the tools — digital x-ray, in-house lab, ultrasound — you bring the expertise) 
What You’ll Do
Provide top-notch wellness, preventive, surgical, and medical care for cats, dogs, and small mammals
Engage in a collaborative medical approach with a supportive team
Connect with pet parents in ways that make them feel confident and cared for
Have flexibility to shape your schedule (full-time OR part-time)
Why You’ll Love Working Here
A culture that gets it — hardworking people who genuinely enjoy helping one another
Mentorship and professional growth supported from day one
Access to a wide array of diagnostics and surgical tools so you can practice medicine you’re proud of
A community that trusts us — and a team that shows up for one another
If you want a practice where your voice is valued, your skills are appreciated, and your love for animals is matched by your colleagues, let’s talk.
Apply today and start your next big adventure with us!
United Veterinary Care provides equal employment opportunities to all employees and applicants for employment in all job classifications without regard to race, color, religion, age, mental disability, physical disability, medical condition, gender, sexual orientation, genetic information, ancestry, marital status, national origin, veteran status, and other classifications protected by applicable state and local non-discrimination laws."
